"date","produced","destroyed","mining.value"
2012-10-29,2677501387761.48,788238526140.511,837907368930.306
2012-10-30,2555602883390.11,913033336185.838,824182738851.504
2012-10-31,2288739812187.57,937195721865.915,898233023912.134
2012-11-01,2313639000427.34,886463594907.062,981150168437.84
2012-11-02,2329526221390.04,887441586865.396,887239459846.07
2012-11-03,2506109792027.82,1184075863283.07,1027046580132.44
2012-11-04,2486753218119.25,1251001947954.56,953214100708.363
2012-11-05,2518003268164.4,794539450805.689,857377731090.881
2012-11-06,2444040871933.3,812831521873.67,898155920478.993
2012-11-07,2406350521380.45,719233242788.226,945209173213.067
2012-11-08,2443105751900.56,835330481433.647,506568114844.326
2012-11-09,2646602975004.73,858548327759.444,781969904894.275
2012-11-10,2453876590104.77,1220222881525.37,917097671200.338
2012-11-11,2513723235903.18,1288289986546.45,981379088329.487
2012-11-12,2471973726304.32,864670711002.876,776233122705.645
2012-11-13,2464075727085.77,739446967667.988,791055998890.233
2012-11-14,2363699701389.03,730387967636.865,820819370413.397
2012-11-15,2383015230070.41,689786008554.429,836854707715.021
2012-11-16,2349387719620.79,784481336620.572,784553874654.843
2012-11-17,2466410604169.94,1161300253508.36,37716581652.7647
2012-11-18,2825742991680.93,1087250576484.84,991581800203.222
2012-11-19,2330175046601.95,841244469608.533,776155477587.351
2012-11-20,2496072815415.62,834977322629.462,798054007655.714
2012-11-21,2473520753097.32,721015567268.999,840392843990.83
2012-11-22,2439114423960.87,969325330742.297,820829322436.779
2012-11-23,2308652901760.71,889556205740.975,814124943111.976
2012-11-24,2666191341069.17,1015102879454.27,937835626168.955
2012-11-25,2589080836157.52,1205023015185.31,975233146998.737
2012-11-26,2467405090456.83,690609008061.046,758224493750.848
2012-11-27,2590519388811.87,724470532826.002,807085115332.087
2012-11-28,2624031322209.63,711058553231.043,822059397601.081
2012-11-29,2352828175189.76,798956621340.05,817918428199.606
2012-11-30,2559093191874.44,799956051077.684,812325837229.302
2012-12-01,2592606137267.81,1054245554545.42,977473366514.647
2012-12-02,2810399932257.26,1178237288216.1,1056101627873.44
2012-12-03,2612927224379.68,755782117395.096,812364619073.296
2012-12-04,2871526016954.87,764038828202.614,591003624308.688
2012-12-05,3399880381206.64,900103541678.405,760493231818.502
2012-12-06,2865243580984.81,1098108164787.01,848017323071.921
2012-12-07,2855995703969.09,1643633130054.01,829670512448.952
2012-12-08,2761485365472.49,1320380307503.15,1027768660329.15
2012-12-09,2741023753770.88,1504435480833.83,1143956246314.97
2012-12-10,2972610853106.83,1014896126334.8,842327605323.039
2012-12-11,2422008211762.59,954389956080.695,888393927666.767
2012-12-12,2474733627982.95,905050182127.367,939899095706.111
2012-12-13,2687217062770.08,896273906813.104,953674451193.831
2012-12-14,2757229004391.79,967893093753.972,888382533007.451
2012-12-15,2944813044316.28,1281942756500.79,1043516777948.48
2012-12-16,2905374025081.88,1480899011574.42,1129590897654.55
2012-12-17,2647852837653.42,875655761299.662,860183768033.937
2012-12-18,2518681705666.83,896559270359.462,920682620153.118
2012-12-19,2735170410526.42,765412102805.072,1002722003033.43
2012-12-20,2577927442120.74,882906186781.501,945401695159.212
2012-12-21,2692409517666.15,925973667168.985,907214136747.346
2012-12-22,2774477137445.51,1063176477503.95,1070758339887.36
2012-12-23,2946957863679.63,1133188593136.3,1152102607050.87
2012-12-24,2739315894041.48,718726705137.488,853322020942.779
2012-12-25,2624763938191.15,684371139350.206,882995617621.449
2012-12-26,2569542791231.93,853775515913.236,1035165476762.93
2012-12-27,2740408249011.84,897988663493.417,1146541563121.28
2012-12-28,2846990565531.01,1030561167816.52,1029007802111.54
2012-12-29,2860344721881.8,1038554374723.04,1140386127586.83
2012-12-30,3075556353756.65,1208423345716.11,1236838217882.61
2012-12-31,2825731576157.47,751929955149.542,892652655345.183
2013-01-01,3160336241773.5,927808539889.503,1047043514597.83
2013-01-02,3453926246455.26,1472447707955.76,1106561533789.95
2013-01-03,3019385694239.15,952225810261.062,1133454814166.83
2013-01-04,2998723964063.6,1171007208306.34,1059373735034.52
2013-01-05,3201948222012.41,1321299314344.38,1232361432922.93
2013-01-06,2855209484823.37,1330500908724.45,1240394213751.35
2013-01-07,3143692858750.86,1052290171086.15,987311855713.629
2013-01-08,2955886197106.09,966989022149.892,1033324942284.34
2013-01-09,2899208512450.14,931486500163.586,1083072521289.46
2013-01-10,2869200350464.54,839540551372.523,892423046194.68
2013-01-11,3073289057105.37,977988126588.063,1044941805536.87
2013-01-12,3199430130604.47,1306675497925.56,1307500068966.11
2013-01-13,3132904166494.43,1497215715900.34,1328800307038.43
2013-01-14,3048012855069.05,916532938370.684,1029880893468.39
2013-01-15,2958728629645.7,865968984431.434,1062599444632.26
2013-01-16,2945190213224.11,849595155160.071,1162620545577.38
2013-01-17,2933670758489.2,948846443284.341,1149894651458.82
2013-01-18,2968444976064.78,1014943382408.49,1035747722199.58
2013-01-19,3040292918500.05,1171351233244.47,1275432051411.08
2013-01-20,3261109208074.82,1446594788581.06,1412774126863
2013-01-21,3048888653362.85,1059769363270.12,1111491082411.84
2013-01-22,2925176321265.64,989724688604.116,1083929774549.83
2013-01-23,3054287962828.54,874917323151.001,1137758884629.82
2013-01-24,2961213215330.14,1010355851790.96,1165116811735.96
2013-01-25,3166348531841.43,925700079654.553,1054019997510
2013-01-26,3283692467856.9,1435784097196.82,1213846383766.88
2013-01-27,3357234704549.64,2110855269675.07,1311494588958.06
2013-01-28,3338078918458.75,885952010137.316,999572398205.086
2013-01-29,3182006980846.1,840787903078.627,1040249590217.59
2013-01-30,3643380587228.17,889132111887.919,1112141926286.57
2013-01-31,3144399145552.1,975988762004.221,1064574313986.32
2013-02-01,3144592288157.76,1050403064368.55,1022630348305.38
2013-02-02,3162402555192.69,1321884645916.59,1221675803474.36
2013-02-03,3164323207194,1416638364744.93,1350418277607.35
2013-02-04,3044803813181.52,959344774379.059,937902715366.366
2013-02-05,2949229643951.57,980622276354.31,1056671798727.49
2013-02-06,3314408916666.09,944998290253.206,1106759442045.13
2013-02-07,3004890424643.27,1009381971110.7,1127542390913.75
2013-02-08,3142322143957,991947611564.692,1077150844950.77
2013-02-09,2980313387094.07,1470088359278.47,1258263665379.56
2013-02-10,3534561279651.6,1586143625163.53,1301983472528.77
2013-02-11,3466388098916.85,990179638961.39,950299606851.094
2013-02-12,3335613163930.57,949981947733.545,1052906874174.97
2013-02-13,3290768786491.21,799819712607.455,1073902481799.25
2013-02-14,3161820985912.94,791703928305.606,1097689158757.3
2013-02-15,3043546512792.2,1020534764545.78,1065828511855.6
2013-02-16,3287558908276.99,1405545779098.72,1313885529552.16
2013-02-17,3396948663050.32,1439370478795.1,1407179342078.99
2013-02-18,3249151117002.85,962000683539.635,1040421851814.17
2013-02-19,3341393349487.95,950885604008.858,894865428743.88
2013-02-20,3482798092846.39,1055408587139.36,995647044025.569
2013-02-21,3068886279368.66,1117957174312.79,1086650112687.43
2013-02-22,3176335682145.3,910826391435.232,964439912026.491
2013-02-23,3496819703175.59,1386043617655.21,1161568812121.04
2013-02-24,3655566374372.39,1421081854438.7,1252691536527.85
2013-02-25,3293266013961.24,1164930382610.85,897142722687.367
2013-02-26,3160978447397.16,851238443968.02,991896592817.855
2013-02-27,3421054300244.78,909102930888.026,1029411901804.18
2013-02-28,3303627340314.09,976041949444.426,1045707731038.41
2013-03-01,3419657178350.62,941978133689.457,934750796035.603
2013-03-02,3351847483933.12,1356356221889.89,1150098314005.63
2013-03-03,3289955984715.07,1416085157798.02,1314045945202.67
2013-03-04,3119089589161.14,968834663089.426,886353652017.172
2013-03-05,3390783624963.58,817830840565.532,954717359156.991
2013-03-06,2969810265134.98,907956555977.632,1033388386652.6
2013-03-07,3229106282655.92,891253646757.902,1031919412985.66
2013-03-08,3122924416850.98,1000200554777.09,948416767415.396
2013-03-09,3103115619019.22,1305599878362.96,1092562597903.99
2013-03-10,3178948981277.13,1277846655828.28,1177947648272.65
2013-03-11,3026921775023.53,987462574371.924,867724542699.27
2013-03-12,3190844816916.76,885467835246.344,930348084351.445
2013-03-13,2908968580823.39,838728841607.362,1006495471408.58
2013-03-14,3203290704149.91,842050775068.8,994664500260.988
2013-03-15,3080763944595.85,936331701437.54,888751275803.085
2013-03-16,3322618707903.06,1162006180005.73,1086816296109.11
2013-03-17,3183160271338.27,1333202045687.37,1120655507216.96
2013-03-18,2978406301400.53,916304516705.124,875130464237.675
2013-03-19,3002642025462.89,851407517741.725,941247900213.431
2013-03-20,2898066169356.88,859389171138.724,951686570382.403
2013-03-21,3041668056526.31,964791045848.338,964313213503
2013-03-22,3007900741378.84,1403945547314.27,863988121122.734
2013-03-23,2982752934232.34,1377132536423.51,1069223368849.7
2013-03-24,3301201063381.53,1497847191703.67,1153286945127.21
2013-03-25,3160289278162.81,1087825777906.91,849266669655.891
2013-03-26,2988748893227.25,975725015443.92,888382741654
2013-03-27,3086255520869.53,1091876567611.29,978450292029.58
2013-03-28,3055386447308.97,957208714086.156,976402560358.064
2013-03-29,3071651669924.79,1116483850592.64,970020956148.842
2013-03-30,3208708492559.34,1254648022064.34,1035770486661.88
2013-03-31,3308539026404.39,1301604647670.28,1064078356819
2013-04-01,3121921100904.22,1072663985755.74,900687141929.469
2013-04-02,2896167489049.74,940939368553.135,821528412966.866
2013-04-03,2915719047427.88,793008754400.994,947270408522.051
2013-04-04,2953428207639.1,834193160256.906,949652936211.911
2013-04-05,3167656348434.07,892617335747.649,885951518819.878
2013-04-06,2934817653061.26,1279654378449.06,1049310761583.23
2013-04-07,3200942012532.21,1334792603634.9,1105573692458.52
2013-04-08,3129235722069.39,860158768653.916,818244867007.37
2013-04-09,2944471430928,751357564795.202,888212907395.326
2013-04-10,2930556294909.26,991476855219.923,954862534186.226
2013-04-11,2817448238877.55,893494544443.839,951323534038.01
2013-04-12,2959058355189.71,980148265290.161,876993183068.515
2013-04-13,3229907324758.44,1349219011400.91,1041831156522.64
2013-04-14,3143744153163.51,1372860227955.91,1077416494029.09
2013-04-15,3035019416431.82,901864951973.308,834593939477.287
2013-04-16,2878070289389.16,940350917835.049,880265026647.767
2013-04-17,2812082564107.36,842004906639.189,924946448407.07
2013-04-18,2662851689321.48,856291347491.673,907881595422.293
2013-04-19,2731636072975.37,1083753176877.57,842487552959.111
2013-04-20,2787194305985.62,1458847518935.8,1023742563919.9
2013-04-21,2471871705615.8,1507761355398.66,1075030245253.07
2013-04-22,2596266836274.2,805579196484.26,815267910480.51
2013-04-23,2450348671729.83,783533993354.613,857846748135.919
